;TEAM;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;STL;BLK;TOV;PF;+/-
0;BOS;BOS vs. GSW;01/26/2019;;180;96;35;84;41.7;13;33;39.4;13;14;92.9;14;27;41;20;6;3;8;13;2
1;GSW;GSW @ BOS;01/26/2019;;180;94;34;71;47.9;11;30;36.7;15;18;83.3;8;35;43;24;3;6;12;16;-2
2;POR;POR vs. ATL;01/26/2019;;0;22;6;8;75.0;3;5;60.0;7;8;87.5;0;5;5;3;2;1;2;3;9
3;ATL;ATL @ POR;01/26/2019;;0;13;5;14;35.7;2;6;33.3;1;1;100;2;2;4;3;1;0;0;5;-9
4;IND;IND @ MEM;01/26/2019;;180;93;30;72;41.7;7;25;28.0;26;32;81.3;7;32;39;18;7;5;18;23;-9
5;MEM;MEM vs. IND;01/26/2019;;180;102;39;80;48.8;9;28;32.1;15;22;68.2;8;28;36;29;8;5;14;22;9
6;PHI;PHI @ DEN;01/26/2019;;120;68;23;45;51.1;9;18;50.0;13;18;72.2;3;14;17;18;5;1;6;14;-9
7;DEN;DEN vs. PHI;01/26/2019;;120;77;28;51;54.9;6;15;40.0;15;19;78.9;5;21;26;16;3;1;5;12;9
8;NOP;NOP vs. SAS;01/26/2019;L;240;114;45;96;46.9;7;27;25.9;17;24;70.8;10;31;41;26;6;6;8;18;-12
9;SAS;SAS @ NOP;01/26/2019;W;240;126;47;91;51.6;11;24;45.8;21;25;84.0;9;42;51;30;5;3;10;19;12
10;UTA;UTA vs. MIN;01/25/2019;W;240;106;37;94;39.4;13;40;32.5;19;25;76.0;16;31;47;25;9;7;11;19;4
11;MIN;MIN @ UTA;01/25/2019;L;240;102;38;90;42.2;8;26;30.8;18;21;85.7;12;38;50;20;5;5;15;22;-4
12;PHX;PHX @ DEN;01/25/2019;L;240;95;32;76;42.1;7;30;23.3;24;26;92.3;2;33;35;20;4;7;16;25;-37
13;DEN;DEN vs. PHX;01/25/2019;W;240;132;47;94;50.0;15;36;41.7;23;29;79.3;16;41;57;26;9;1;12;20;37
14;SAC;SAC @ MEM;01/25/2019;W;240;99;37;91;40.7;12;33;36.4;13;17;76.5;12;37;49;23;11;5;19;25;3
15;MEM;MEM vs. SAC;01/25/2019;L;240;96;34;80;42.5;6;20;30.0;22;27;81.5;9;35;44;22;13;5;16;22;-3
16;CHA;CHA @ MIL;01/25/2019;L;240;99;36;90;40.0;10;38;26.3;17;25;68.0;12;41;53;20;4;2;17;18;-9
17;MIL;MIL vs. CHA;01/25/2019;W;240;108;41;89;46.1;6;31;19.4;20;23;87.0;6;40;46;17;9;6;12;18;9
18;DET;DET @ DAL;01/25/2019;L;240;101;35;85;41.2;12;38;31.6;19;25;76.0;13;33;46;22;6;0;13;26;-5
19;DAL;DAL vs. DET;01/25/2019;W;240;106;37;81;45.7;14;36;38.9;18;30;60.0;9;34;43;24;8;6;10;25;5
20;BKN;BKN vs. NYK;01/25/2019;W;240;109;34;84;40.5;9;33;27.3;32;47;68.1;18;42;60;19;5;2;20;21;10
21;NYK;NYK @ BKN;01/25/2019;L;240;99;37;87;42.5;8;31;25.8;17;26;65.4;6;27;33;17;12;11;8;31;-10
22;HOU;HOU vs. TOR;01/25/2019;W;240;121;41;91;45.1;10;46;21.7;29;33;87.9;12;28;40;17;11;5;12;21;2
23;TOR;TOR @ HOU;01/25/2019;L;240;119;44;91;48.4;14;36;38.9;17;18;94.4;12;35;47;27;4;1;21;25;-2
24;LAC;LAC @ CHI;01/25/2019;W;240;106;38;82;46.3;8;21;38.1;22;29;75.9;5;45;50;27;3;4;16;13;5
25;CHI;CHI vs. LAC;01/25/2019;L;240;101;40;102;39.2;10;35;28.6;11;12;91.7;12;37;49;20;11;5;11;23;-5
26;MIA;MIA @ CLE;01/25/2019;W;240;100;37;80;46.3;9;23;39.1;17;25;68.0;12;36;48;19;6;4;14;18;6
27;CLE;CLE vs. MIA;01/25/2019;L;240;94;37;85;43.5;10;30;33.3;10;13;76.9;9;33;42;23;8;2;13;21;-6
28;WAS;WAS @ ORL;01/25/2019;W;240;95;35;79;44.3;15;27;55.6;10;12;83.3;5;33;38;26;9;1;12;15;4
29;ORL;ORL vs. WAS;01/25/2019;L;240;91;38;84;45.2;7;33;21.2;8;12;66.7;13;39;52;24;3;4;15;9;-4
30;NOP;NOP @ OKC;01/24/2019;L;240;116;49;101;48.5;10;36;27.8;8;12;66.7;8;34;42;34;7;6;12;16;-6
31;OKC;OKC vs. NOP;01/24/2019;W;240;122;50;101;49.5;14;32;43.8;8;16;50.0;14;43;57;33;8;2;14;15;6
32;LAL;LAL vs. MIN;01/24/2019;L;240;105;44;87;50.6;8;28;28.6;9;14;64.3;9;30;39;28;5;5;20;23;-15
33;MIN;MIN @ LAL;01/24/2019;W;240;120;44;102;43.1;10;33;30.3;22;25;88.0;22;33;55;24;8;3;14;15;15
34;PHX;PHX vs. POR;01/24/2019;L;240;106;36;88;40.9;13;38;34.2;21;27;77.8;9;30;39;19;9;4;16;22;-14
35;POR;POR @ PHX;01/24/2019;W;240;120;44;94;46.8;12;26;46.2;20;20;100;14;39;53;25;8;8;17;24;14
36;WAS;WAS vs. GSW;01/24/2019;L;240;118;44;95;46.3;15;42;35.7;15;21;71.4;9;27;36;29;7;2;10;22;-8
37;GSW;GSW @ WAS;01/24/2019;W;240;126;50;88;56.8;7;20;35.0;19;21;90.5;8;42;50;34;5;6;15;21;8
38;CHI;CHI vs. ATL;01/23/2019;L;240;101;35;79;44.3;8;26;30.8;23;27;85.2;7;30;37;20;7;6;15;21;-20
39;ATL;ATL @ CHI;01/23/2019;W;240;121;45;90;50.0;15;40;37.5;16;21;76.2;16;35;51;31;11;2;17;20;20
40;MIA;MIA vs. LAC;01/23/2019;L;240;99;39;83;47.0;8;28;28.6;13;22;59.1;12;28;40;23;3;3;14;19;-12
41;LAC;LAC @ MIA;01/23/2019;W;240;111;45;85;52.9;7;22;31.8;14;21;66.7;7;34;41;23;5;3;7;20;12
42;TOR;TOR @ IND;01/23/2019;L;240;106;38;92;41.3;12;39;30.8;18;23;78.3;10;35;45;28;2;5;9;22;-4
