index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1,NOP,NOP vs. SAS,04/11/2018,W,240,122,52,88,59.1,5,19,26.3,13,19,68.4,11,40,51,30,11,5,19,20,24
2,SAS,SAS @ NOP,04/11/2018,L,240,98,37,92,40.2,8,24,33.3,16,19,84.2,12,26,38,22,9,1,17,17,-24
3,OKC,OKC vs. MEM,04/11/2018,W,240,137,47,85,55.3,20,43,46.5,23,32,71.9,8,37,45,32,8,3,14,23,14
4,MEM,MEM @ OKC,04/11/2018,L,240,123,44,91,48.4,13,31,41.9,22,24,91.7,9,32,41,22,9,2,13,22,-14
5,DEN,DEN @ MIN,04/11/2018,L,265,106,41,90,45.6,13,32,40.6,11,18,61.1,10,37,47,19,4,4,15,22,-6
6,MIN,MIN vs. DEN,04/11/2018,W,265,112,42,89,47.2,9,23,39.1,19,25,76.0,8,32,40,24,10,2,8,19,6
7,HOU,HOU @ SAC,04/11/2018,L,240,83,31,82,37.8,13,46,28.3,8,12,66.7,8,32,40,11,2,6,14,24,-13
8,SAC,SAC vs. HOU,04/11/2018,W,240,96,38,80,47.5,7,26,26.9,13,20,65.0,6,42,48,22,6,3,11,14,13
9,UTA,UTA @ POR,04/11/2018,L,240,93,33,89,37.1,8,23,34.8,19,24,79.2,14,39,53,18,5,7,15,19,-9
10,POR,POR vs. UTA,04/11/2018,W,240,102,41,89,46.1,9,24,37.5,11,16,68.8,7,39,46,19,9,9,10,22,9
11,TOR,TOR @ MIA,04/11/2018,L,265,109,42,92,45.7,9,30,30.0,16,21,76.2,9,38,47,24,5,10,14,24,-7
12,MIA,MIA vs. TOR,04/11/2018,W,265,116,46,106,43.4,11,26,42.3,13,20,65.0,19,37,56,26,8,7,9,18,7
13,LAC,LAC vs. LAL,04/11/2018,L,240,100,41,83,49.4,6,18,33.3,12,28,42.9,8,33,41,27,8,1,17,17,-15
14,LAL,LAL @ LAC,04/11/2018,W,240,115,42,88,47.7,17,39,43.6,14,16,87.5,10,39,49,25,8,6,17,23,15
15,WAS,WAS @ ORL,04/11/2018,L,240,92,33,95,34.7,10,34,29.4,16,27,59.3,18,32,50,17,5,1,12,25,-9
16,ORL,ORL vs. WAS,04/11/2018,W,240,101,33,77,42.9,13,32,40.6,22,27,81.5,6,36,42,20,6,7,16,27,9
17,NYK,NYK @ CLE,04/11/2018,W,240,110,43,85,50.6,12,27,44.4,12,13,92.3,8,31,39,30,10,3,15,22,12
18,CLE,CLE vs. NYK,04/11/2018,L,240,98,37,94,39.4,6,24,25.0,18,28,64.3,17,31,48,15,9,3,16,15,-12
19,BOS,BOS vs. BKN,04/11/2018,W,240,110,46,102,45.1,6,24,25.0,12,15,80.0,20,42,62,22,6,6,14,14,13
20,BKN,BKN @ BOS,04/11/2018,L,240,97,37,91,40.7,11,40,27.5,12,16,75.0,10,34,44,27,10,6,16,12,-13
21,DET,DET @ CHI,04/11/2018,W,240,119,47,89,52.8,15,35,42.9,10,10,100.0,7,40,47,27,12,4,12,21,32
22,CHI,CHI vs. DET,04/11/2018,L,240,87,32,86,37.2,11,34,32.4,12,18,66.7,12,28,40,21,8,1,19,15,-32
23,PHI,PHI vs. MIL,04/11/2018,W,240,130,52,105,49.5,15,36,41.7,11,15,73.3,17,40,57,35,15,7,12,17,35
24,MIL,MIL @ PHI,04/11/2018,L,240,95,37,90,41.1,7,25,28.0,14,16,87.5,10,33,43,22,6,5,20,17,-35
25,WAS,WAS vs. BOS,04/10/2018,W,240,113,41,83,49.4,15,30,50.0,16,20,80.0,10,41,51,32,8,3,20,24,12
26,BOS,BOS @ WAS,04/10/2018,L,240,101,33,87,37.9,13,33,39.4,22,27,81.5,13,31,44,22,14,1,17,18,-12
27,DAL,DAL vs. PHX,04/10/2018,L,240,97,37,97,38.1,8,33,24.2,15,22,68.2,18,22,40,20,8,1,8,19,-27
28,PHX,PHX @ DAL,04/10/2018,W,240,124,48,76,63.2,13,26,50.0,15,21,71.4,5,41,46,35,5,6,15,16,27
29,UTA,UTA vs. GSW,04/10/2018,W,240,119,48,90,53.3,13,35,37.1,10,13,76.9,12,42,54,25,10,6,15,20,40
30,GSW,GSW @ UTA,04/10/2018,L,240,79,30,86,34.9,5,19,26.3,14,16,87.5,9,30,39,14,7,3,16,18,-40
31,ATL,ATL vs. PHI,04/10/2018,L,240,113,41,98,41.8,13,37,35.1,18,26,69.2,8,31,39,27,10,3,10,24,-8
32,PHI,PHI @ ATL,04/10/2018,W,240,121,43,87,49.4,17,37,45.9,18,30,60.0,11,43,54,29,7,8,18,22,8
33,IND,IND vs. CHA,04/10/2018,L,240,93,40,99,40.4,8,31,25.8,5,8,62.5,13,40,53,22,3,4,8,16,-26
34,CHA,CHA @ IND,04/10/2018,W,240,119,46,99,46.5,18,42,42.9,9,12,75.0,13,42,55,27,5,7,7,8,26
35,HOU,HOU @ LAL,04/10/2018,W,240,105,37,88,42.0,16,47,34.0,15,16,93.8,8,41,49,19,9,5,19,19,6
36,LAL,LAL vs. HOU,04/10/2018,L,240,99,38,90,42.2,10,36,27.8,13,15,86.7,9,38,47,22,14,4,17,19,-6
37,MIN,MIN vs. MEM,04/09/2018,W,240,113,42,87,48.3,7,22,31.8,22,26,84.6,18,34,52,27,10,7,18,18,19
38,MEM,MEM @ MIN,04/09/2018,L,240,94,35,85,41.2,5,18,27.8,19,21,90.5,10,25,35,20,11,5,17,20,-19
39,DEN,DEN vs. POR,04/09/2018,W,240,88,31,83,37.3,6,26,23.1,20,26,76.9,10,42,52,22,7,5,12,18,6
40,POR,POR @ DEN,04/09/2018,L,240,82,31,94,33.0,7,33,21.2,13,18,72.2,18,39,57,10,8,2,17,28,-6
41,MIL,MIL vs. ORL,04/09/2018,W,240,102,39,91,42.9,9,26,34.6,15,18,83.3,12,44,56,26,13,2,17,18,16
42,ORL,ORL @ MIL,04/09/2018,L,240,86,34,82,41.5,5,24,20.8,13,20,65.0,5,38,43,24,8,4,20,14,-16
43,NOP,NOP @ LAC,04/09/2018,W,240,113,44,95,46.3,11,30,36.7,14,20,70.0,9,41,50,34,13,10,8,18,13
44,LAC,LAC vs. NOP,04/09/2018,L,240,100,45,98,45.9,2,17,11.8,8,19,42.1,17,44,61,29,6,6,16,18,-13
45,MIA,MIA vs. OKC,04/09/2018,L,240,93,40,87,46.0,5,22,22.7,8,14,57.1,8,35,43,21,6,4,15,24,-22
46,OKC,OKC @ MIA,04/09/2018,W,240,115,35,81,43.2,14,35,40.0,31,38,81.6,7,36,43,21,9,4,10,15,22
47,DET,DET vs. TOR,04/09/2018,L,240,98,35,78,44.9,9,30,30.0,19,25,76.0,4,29,33,22,7,2,6,11,-10
48,TOR,TOR @ DET,04/09/2018,W,240,108,46,87,52.9,12,39,30.8,4,4,100.0,8,40,48,27,3,5,10,17,10
49,BKN,BKN vs. CHI,04/09/2018,W,240,114,41,82,50.0,18,42,42.9,14,15,93.3,6,32,38,32,8,10,18,15,9
50,CHI,CHI @ BKN,04/09/2018,L,240,105,43,89,48.3,12,28,42.9,7,12,58.3,10,34,44,26,7,6,19,17,-9
51,CLE,CLE @ NYK,04/09/2018,W,240,123,40,85,47.1,19,45,42.2,24,28,85.7,7,35,42,29,9,2,11,15,14
52,NYK,NYK vs. CLE,04/09/2018,L,240,109,46,87,52.9,11,30,36.7,6,12,50.0,8,29,37,26,4,7,14,20,-14
53,SAS,SAS vs. SAC,04/09/2018,W,240,98,34,82,41.5,6,27,22.2,24,29,82.8,11,34,45,18,6,6,8,14,13
54,SAC,SAC @ SAS,04/09/2018,L,240,85,33,81,40.7,8,18,44.4,11,17,64.7,12,33,45,16,4,2,12,24,-13
55,TOR,TOR vs. ORL,04/08/2018,W,240,112,39,78,50.0,17,40,42.5,17,24,70.8,6,41,47,28,8,5,17,21,11
56,ORL,ORL @ TOR,04/08/2018,L,240,101,42,89,47.2,7,23,30.4,10,17,58.8,6,36,42,25,12,4,11,17,-11
57,DET,DET @ MEM,04/08/2018,L,240,117,38,93,40.9,23,47,48.9,18,23,78.3,14,24,38,30,10,0,13,18,-13
58,MEM,MEM vs. DET,04/08/2018,W,240,130,48,83,57.8,16,33,48.5,18,24,75.0,8,35,43,36,11,4,14,18,13
59,CHA,CHA vs. IND,04/08/2018,L,240,117,40,80,50.0,11,30,36.7,26,30,86.7,5,31,36,27,6,3,21,17,-6
60,IND,IND @ CHA,04/08/2018,W,240,123,50,93,53.8,9,25,36.0,14,18,77.8,7,32,39,27,11,1,15,22,6
61,ATL,ATL @ BOS,04/08/2018,W,240,112,43,86,50.0,15,35,42.9,11,14,78.6,5,32,37,23,7,4,13,19,6
62,BOS,BOS vs. ATL,04/08/2018,L,240,106,42,82,51.2,9,23,39.1,13,20,65.0,10,31,41,33,9,6,12,18,-6
63,GSW,GSW @ PHX,04/08/2018,W,240,117,47,90,52.2,13,32,40.6,10,15,66.7,5,36,41,27,9,7,11,15,17
64,PHX,PHX vs. GSW,04/08/2018,L,240,100,39,92,42.4,10,35,28.6,12,16,75.0,8,36,44,24,4,0,15,16,-17
